Id,SalePrice
1461,121532.35
1462,145821.86
1463,182654.5
1464,180259.7
1465,185935.81
1466,182970.92
1467,171716.73
1468,167435.48
1469,193367.95
1470,124663.9
1471,197411.27
1472,100573.164
1473,101046.77
1474,161215.05
1475,143035.12
1476,344995.2
1477,259940.19
1478,292974.06
1479,179916.56
1480,497617.88
1481,280416.1
1482,207563.73
1483,165560.5
1484,180054.77
1485,168545.64
1486,195324.28
1487,301340.7
1488,255408.0
1489,206858.62
1490,198398.14
1491,180662.36
1492,67279.29
1493,169313.2
1494,285788.88
1495,312521.88
1496,213950.84
1497,179228.31
1498,177566.33
1499,173994.89
1500,165387.03
1501,199829.08
1502,173284.86
1503,283680.88
1504,218184.86
1505,214966.02
1506,188926.52
1507,212347.19
1508,215425.52
1509,161617.6
1510,151177.48
1511,141303.89
1512,143072.31
1513,164109.89
1514,162699.58
1515,184897.44
1516,197805.08
1517,143059.48
1518,134523.8
1519,222632.19
1520,138583.98
1521,135625.64
1522,169210.6
1523,102425.57
1524,117313.8
1525,127095.086
1526,127984.67
1527,116205.17
1528,130480.484
1529,145130.22
1530,144738.12
1531,110092.5
1532,97237.44
1533,142539.22
1534,129741.125
1535,161421.33
1536,109215.34
1537,57530.82
1538,200644.84
1539,215213.39
1540,123910.73
1541,162527.94
1542,154184.8
1543,210165.45
1544,79302.0
1545,113996.7
1546,139715.33
1547,144142.67
1548,142103.64
1549,126700.24
1550,157561.17
1551,125517.72
1552,168866.08
1553,150827.84
1554,124706.36
1555,175904.89
1556,107821.64
1557,101388.99
1558,100971.336
1559,116514.52
1560,157380.7
1561,142342.44
1562,136357.31
1563,130386.266
1564,162473.38
1565,149307.2
1566,222481.52
1567,86829.55
1568,234755.03
1569,166928.81
1570,125502.234
1571,129420.414
1572,143776.47
1573,227186.36
1574,83669.66
1575,214963.45
1576,221761.84
1577,202191.73
1578,156979.55
1579,138484.3
1580,198442.88
1581,139019.69
1582,135652.39
1583,323416.2
1584,232020.81
1585,142276.38
1586,88805.84
1587,99985.32
1588,136170.81
1589,101087.766
1590,138449.2
1591,103454.91
1592,108229.51
1593,142775.66
1594,119507.92
1595,125970.93
1596,255807.5
1597,202137.17
1598,195950.1
1599,164213.17
1600,174073.8
1601,62116.566
1602,111231.04
1603,77158.375
1604,268189.9
1605,223405.77
1606,171353.22
1607,151756.75
1608,211718.42
1609,197334.4
1610,162182.8
1611,146640.02
1612,155354.72
1613,167195.95
1614,125620.914
1615,83720.79
1616,79481.71
1617,97438.46
1618,132592.94
1619,130385.16
1620,191263.58
1621,149331.31
1622,137983.77
1623,352254.34
1624,217277.28
1625,129604.35
1626,182661.12
1627,199056.67
1628,290449.38
1629,179402.66
1630,361899.22
1631,227850.8
1632,266449.1
1633,165417.81
1634,190578.77
1635,178248.95
1636,153908.28
1637,200383.1
1638,194608.17
1639,182005.25
1640,270338.66
1641,195355.36
1642,214842.56
1643,215673.83
1644,217713.94
1645,167925.62
1646,157445.27
1647,165451.77
1648,132894.48
1649,135024.67
1650,129292.164
1651,119055.83
1652,104027.75
1653,101744.516
1654,151211.12
1655,155231.28
1656,163725.31
1657,161919.08
1658,159565.25
1659,144337.48
1660,150086.22
1661,532715.5
1662,438539.38
1663,345858.66
1664,403367.4
1665,304655.16
1666,297437.22
1667,336956.66
1668,330316.4
1669,296080.1
1670,312655.16
1671,251520.6
1672,473684.44
1673,290785.22
1674,271736.7
1675,184077.44
1676,188062.56
1677,215980.11
1678,434125.5
1679,391686.4
1680,305970.97
1681,260984.88
1682,296755.62
1683,175605.58
1684,167221.11
1685,169364.33
1686,163978.75
1687,162631.81
1688,185291.89
1689,187632.95
1690,183484.75
1691,174816.53
1692,251238.98
1693,164946.62
1694,192786.05
1695,164433.55
1696,267987.2
1697,157030.05
1698,401807.75
1699,322750.06
1700,223332.0
1701,253751.56
1702,273223.47
1703,251842.98
1704,312290.62
1705,236671.02
